Arngeng,Pimple
Arngeng,Acne
Awmna,Pneumonia
Awrpuar,Goitre
Bengkherh,Ottorhoea
Biangboh,Mumps
Chau,Fatigue
Chauhna,Fatigue
Taksa chau,Fatigue
Dadu,Veneral Disease (V.D)
Na,ill
Damlo,Sick
Durh,Blister
Hahchhiau,Sneeze
Hahchhiau,Sneezing
Ham,Yawn
Ham,yawning
Ha na,Toothache
Ha muat,Brittle teeth
Ha nget,tooth decay
Hliam,Wound
Hliam,injure
Hliam,injuries
Hritlang,Cold
Hritlang,Chill
Hritlang,Common cold
Hritlangpui,Influenza
Hrawkna,Tonsillitis
Irhfiak,Hiccup
Cancer,Cancer
Kansar,Cancer
Kawthalo,Diarrheoa
Kawthalo,loose motion
Khawihli,Boil
Khawsik,Fever
Khawsik pui,Typhoid
Khuh,Cough
Khuhhip,Whooping cough
Leivung,Callosities
Luak,Vomit
lua,Vomit
Luhai,Giddy
Luhai,dizzy
Luna,Headache
Na,ache
Na,pain
Ngawr,Tuberculosis (T.B)
Pan,Ulcer
Pan,sore
Pan,Ucanker
Pan hnai,Pus
hnai la,Pus
Phar,Leprosy
Phai thak,Ringworm
Pumna,Stomach ache
Pumna,colic
Ruhseh,Rheumatism
Ruh tliak,Bone fracture
Ruh pelh,Bone fracture
Sakawrekhrik,Tetanus
Santen,Dysentery
Ser,Scar
Sikserh,Malaria
Singsihlip,Wart
Singsihlit,Wart
Nghamit,Wart
Tangseh,Chicken pox
Tai,Pile disorder
Tai tla,Pile disorder
Thachat,Cramp
Chawn tha chat,Cramp
Thak,Itch
Thak,itching
Thawhah,Asthma
Thawchham,Faint
Thinlian,Jaundice
Mitliam,Jaundice
Thisen chhuak,Bleeding
Tilpuk,Bydrocele
Tuihri,Cholera
Uithak,Scabies
Uihli thak,Scabies
Arhrik thak,Scabies
Ke ulh,Sprain
Kut ulh,Sprain
ulh,Sprain
ban ulh,Sprain
Vung,Swell
taksa vung,beri-beri
Vun natna,Skin disease
Za,Tickle
tiza,Tickle
Zawnghri,Smallpox
Zeng,Paralysis
Zawi,Paralysis
Zeng hri,Polio
Zunthlum,Diabetis
"Natna, Hri",Disease
Rilphir,Appendicitis
Rilphir na,Appendicitis
Hnar chiangkuanglo,Allergy
Hnarza,Allergy
Hnute cancer,Breast cancer
Khuh benvawn,Bronchitis
Hrileng,Plague
hripui leng,Plague
Lung na,Heart disease
lung natna,Heart disease
Phungzawl,Epilepsi
Chawkawng na,Gastroenteritis
Chawkawng fello,Gastroenteritis
pumpui hnun na,Gastroenteritis
Hnar chiangkuanglo,Allergy
Hnarza,Allergy
"Ching, fa nei theilo",Infertility
Thisen leh thling natna,Lukemia
Chuap cancer,Lung cancer
Thin cancer,Liver cancer
Sentut,Measles
Luna benvawn,Migraine
Mitthalo,Myopia
khawhmuh tawi,Myopia
Thau lutuk na,Obesity
thau luatna,Obesity
Chuap cancer,Lung cancer
Mitdel,Blind
mitdelna,Blindness
Bengngawng,Deaf
Tawngtheilo,Dumb
Tawngtheilo,deaf-mute
Mit natna,Eye disease
Mit thalo,eye disorder
Ui a hri,Rabies
Uihri,Rabies
Pumpui lawng,Stomach ulcer
Bawk,Tumor
taksa chawr,Tumor
pangti chawr,Tumor
